sol_irr,T_amb,wind_pow
0.55,5,0.028
0.669,5,0.009
0.729,4.4,0.001
0.736,4.4,0
0.714,5.6,0
0.616,6.1,0
0.459,6.1,0.003
0.24,6.1,0.063
0.032,6.7,0.244
0,7.8,0.348
0,7.8,0.326
0,7.8,0.291
0,8.3,0.235
0,7.8,0.179
0,7.8,0.144
0,7.8,0.117
0,7.8,0.087
0,7.8,0.058
0,7.8,0.034
0,7.8,0.027
0,7.8,0.029
0.004,7.8,0.035
0.2,7.2,0.047
0.429,7.2,0.064
0.598,7.2,0.096
0.712,6.7,0.133
0.778,7.2,0.144
0.783,7.2,0.13
0.738,7.8,0.123
0.64,8.3,0.125
0.484,8.9,0.139
0.264,10,0.153
0.038,9.4,0.156
0,9.4,0.159
0,9.4,0.16
0,8.9,0.185
0,8.3,0.197
0,8.3,0.208
0,8.3,0.22
0,7.8,0.222
0,7.8,0.202
0,7.8,0.191
0,7.8,0.179
0,6.7,0.174
0,6.1,0.176
0.003,6.1,0.206
0.161,6.1,0.226
0.396,6.1,0.214
0.599,5.6,0.232
0.703,4.4,0.274
0.757,5,0.297
0.763,5,0.326
0.717,5.6,0.323
0.61,6.7,0.305
0.446,8.9,0.279
0.211,9.4,0.227
0.025,9.4,0.18
0,7.8,0.156
0,7.8,0.145
0,6.7,0.137
0,5,0.129
0,4.4,0.131
0,3.9,0.144
0,3.3,0.185
0,2.8,0.203
0,2.2,0.213
0,2.2,0.222
0,1.1,0.233
0,-3.3,0.252
0.003,-5,0.281
0.168,-4.4,0.285
0.385,-6.1,0.305
0.569,-3.3,0.324
0.712,-5.6,0.299
0.767,-5,0.251
0.772,-2.2,0.18
0.723,0,0.122
0.617,2.2,0.071
0.452,3.3,0.031
0.239,3.3,0.016
0.034,3.3,0.016
0,3.3,0.034
0,4.4,0.044
0,2.8,0.048
0,1.7,0.05
0,1.7,0.029
0,0,0.019
0,-1.1,0.013
0,-1.1,0.007
0,-1.7,0.005
0,-3.3,0.004
0,-3.3,0.002
0,-5.6,0.001
0.004,-3.9,0
0.169,-4.4,0.001
0.41,-5.6,0.002
0.591,-5.6,0.003
0.702,-5.6,0.005
0.757,-6.1,0.006
0.762,-2.2,0.007
0.714,0,0.009
0.613,2.2,0.008
0.452,3.9,0.008
0.237,4.4,0.015
0.032,5.6,0.046
0,5.6,0.087
0,5.6,0.071
0,5,0.032
0,0.6,0.005
0,-0.6,0
0,-1.1,0
0,-1.7,0.001
0,-1.1,0.003
0,-1.7,0.005
0,-2.8,0.019
0,-3.3,0.053
0,-2.8,0.068
0.002,-2.2,0.037
0.1,-1.7,0.013
0.307,-1.7,0.004
0.495,-2.2,0.001
0.631,-2.2,0.002
0.682,-2.2,0.008
0.678,-1.1,0.026
0.608,1.1,0.055
0.479,2.2,0.086
0.326,4.4,0.12
0.145,6.1,0.157
0.013,6.7,0.183
0,7.2,0.191
0,6.7,0.156
0,5.6,0.127
0,3.3,0.113
0,0,0.144
0,-1.1,0.181
0,-2.8,0.22
0,-2.8,0.237
0,-2.8,0.225
0,-3.9,0.196
0,-4.4,0.213
0,-5.6,0.305
0.004,-5,0.407
0.188,-6.7,0.404
0.424,-6.7,0.346
0.589,-5.6,0.289
0.699,-6.7,0.233
0.756,-6.1,0.184
0.768,-3.9,0.149
0.722,-0.6,0.134
0.603,3.9,0.123
0.462,5,0.125
0.26,6.7,0.146
0.039,7.8,0.192
