sol_irr,T_amb,wind_pow
0.409,6.1,0.578
0.209,4.4,0.489
0.052,2.8,0.464
0,1.1,0.527
0,0.7,0.586
0,0.4,0.683
0,1.1,0.745
0,1.9,0.768
0,2.6,0.757
0,3.4,0.73
0,4.1,0.722
0,4.9,0.705
0,5.6,0.674
0,5.6,0.642
0,5,0.618
0,5,0.609
0.001,4.4,0.574
0.047,4.4,0.488
0.118,5.6,0.358
0.155,6.1,0.201
0.14,6.1,0.103
0.164,6.1,0.112
0.198,6.7,0.155
0.237,7.8,0.156
0.173,7.8,0.141
0.093,7.8,0.083
0.022,8.3,0.032
0,7.8,0.021
0,7.8,0.039
0,7.8,0.069
0,7.8,0.092
0,7.8,0.094
0,7.8,0.083
0,7.8,0.063
0,7.8,0.064
0,7.8,0.098
0,7.2,0.168
0,7.2,0.231
0,7.2,0.262
0,6.7,0.297
0.008,7.2,0.328
0.188,7.2,0.329
0.394,7.8,0.237
0.584,8.3,0.16
0.687,8.9,0.169
0.729,10,0.145
0.715,9.4,0.12
0.648,9.4,0.101
0.523,9.4,0.083
0.332,8.9,0.033
0.095,8.3,0.02
0,8.3,0.041
0,8.3,0.053
0,7.8,0.046
0,7.8,0.051
0,7.8,0.153
0,7.8,0.39
0,6.7,0.635
0,6.1,0.772
0,6.1,0.784
0,6.1,0.724
0,6.1,0.599
0,5.6,0.444
0,4.4,0.316
0,5,0.413
0.054,5,0.574
0.267,5.6,0.535
0.49,6.7,0.525
0.587,8.9,0.379
0.528,9.4,0.155
0.424,9.4,0.039
0.234,7.8,0.011
0.165,7.8,0.067
0.101,6.7,0.287
0.043,5,0.58
0,4.4,0.697
0,3.9,0.685
0,3.3,0.632
0,2.8,0.611
0,2.2,0.639
0,2.2,0.684
0,1.1,0.712
0,-3.3,0.706
0,-5,0.672
0,-4.4,0.612
0,-6.1,0.539
0,-3.3,0.488
0,-5.6,0.48
0.005,-5,0.503
0.089,-2.2,0.456
0.134,0,0.374
0.159,2.2,0.338
0.223,3.3,0.302
0.323,3.3,0.294
0.311,3.3,0.258
0.233,3.3,0.203
0.173,4.4,0.153
0.108,2.8,0.145
0.041,1.7,0.208
0,1.7,0.339
0,0,0.494
0,-1.1,0.624
0,-1.1,0.706
0,-1.7,0.722
0,-3.3,0.701
0,-3.3,0.7
0,-5.6,0.695
0,-3.9,0.67
0,-4.4,0.652
0,-5.6,0.642
0,-5.6,0.642
0,-5.6,0.655
0.012,-6.1,0.676
0.224,-2.2,0.601
0.459,0,0.413
